"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Type","Website"
01bd8144-0d1a-4287-9e89-e522f65ce92d,"#N/A",4.8851E10,New York,United States,"#N/A","#N/A","#N/A",10017-5703,NY,235 E 42nd St,Procurabl Holdings Inc. is the leader in Manufacturing in New York,"#N/A",Manufacturing,false,"#N/A",Mybuzz,"#N/A","#N/A",1.212.733.2323,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
023cbe4d-7fdb-4e87-ab37-00e396eb56d8,"#N/A",1.46801E11,Dallas,United States,"#N/A","#N/A","#N/A",75202-4295,TX,208 S Akard St,"Regal Machine, Inc. is the leader in Automotive in Dallas","#N/A",Automotive,false,"#N/A",Eadel,"#N/A","#N/A",1.210.821.4105,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
04c6b819-ca36-4246-aeab-6cf1f8ef76a3,"#N/A",2.89485471E8,Berlin,Germany,"#N/A","#N/A","#N/A","#N/A",Berlin,1011 Centre Road,0015f000008wDaiAAE,"#N/A",Biotechnology,false,"#N/A",Babblestorm,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A"
05162063-cf78-4291-8219-64f0c71117e9,"#N/A",8.0231577E7,Caringbah,Australia,"#N/A","#N/A","#N/A",1495,NSW,10/33-37 Gannons Rd,Nick Ciapetta Hospital is the leader in Healthcare in Caringbah,"#N/A",Healthcare,false,"#N/A",Twimm,"#N/A","#N/A",(02) 6905 6165,Caringbah,Australia,"#N/A","#N/A","#N/A",1495,NSW,10/33-37 Gannons Rd,"#N/A",Prospect,"#N/A"
05d187c7-356b-4494-893b-0ae41c76cd75,"#N/A",3.7897E10,New York,United States,"#N/A","#N/A","#N/A",10036-8200,NY,1585 Broadway,"Clearcoat, LLC is the leader in Automotive in New York","#N/A",Automotive,false,"#N/A",Dazzlesphere,"#N/A","#N/A",1.212.761.4000,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",200 George Street,"#N/A",Prospect,"#N/A"
064f1a13-6222-4d7e-bbd0-03ccf71a5f97,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",OH,"#N/A","#N/A","#N/A",Entertainment,false,"#N/A",Cedar Point,2600,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A"
08076b38-ddeb-4b1f-ae62-77aff8f51e00,"#N/A",7.6279E10,Cincinnati,United States,"#N/A","#N/A","#N/A",45202-3393,OH,1 Procter and Gamble Plz,ADM Goods is the leader in Consumer Goods in Cincinnati,"#N/A",Consumer Goods,false,"#N/A",Voonix,"#N/A","#N/A",1.513.983.1100,Cincinnati,US,"#N/A","#N/A","#N/A",45201-0599,OH,P.O. BOX 599,"#N/A",Customer,"#N/A"
0817c67e-29be-454d-bc26-5faf6e1f9378,"#N/A",5.29570951E8,Ballan,Australia,"#N/A","#N/A","#N/A",3342,VIC,18 McMahon Dr,Minuteman Cafe is the leader in Apparel in Ballan,"#N/A",Apparel,false,"#N/A",Agimba,"#N/A","#N/A",(03) 8664 6673,Ballan,Australia,"#N/A","#N/A","#N/A",3342,VIC,18 McMahon Dr,"#N/A",Customer,"#N/A"
08943fa9-6f3c-4b3b-b58b-c5ccabacbf17,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Pizza Hut,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
09e40276-6bec-48d0-bfc7-7a3c02f79191,"#N/A",1.46231103E8,Welwyn Garden City,United Kingdom,"#N/A","#N/A","#N/A",AL7 1GA,"#N/A","Tesco House, Shire Park, Kestrel Way",Western Gas & Electric is the leader in Biotechnology,"#N/A",Biotechnology,false,"#N/A",Meeveo,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Tesco House, Shire Park, Kestrel Way","#N/A",Customer,"#N/A"
