"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
000fe996-d84d-47ca-921c-1f005202cb75,520c26e8-43a5-4fe1-b29e-143a84d0d66c,"#N/A","#N/A",6f8b028f-4e2c-47ea-a083-af890e0990cd,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
001332f7-f850-4a77-962c-3c5c370c53e5,3b35a636-dae9-47d4-8485-3da379ba7c40,"#N/A","#N/A",ec75b5ff-e859-49a3-ae0a-25b29ad167cd,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0095f7b4-1fb3-4e28-8453-4eeb82e2efa0,f6e667a6-131d-4b16-8dc8-43f94aa13238,"#N/A","#N/A",229b0a06-00c9-4ee2-9b25-20c824d62abc,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,New,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
009803f6-4b2d-415b-b1a4-26f8500dfd66,d99417b6-f524-4870-8bc3-47c0ee2c6eff,"#N/A","#N/A",07dfc5a5-adb4-4546-ac21-9f977dbb4fba,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00d56835-3968-44fd-ab00-e645919a3f59,2be610c4-1622-44a9-8438-75e948020c9f,"#N/A","#N/A",f8d42cc5-4e7e-48c8-8d56-12530a018d5c,Last statement question.,false,"#N/A",Medium,"#N/A",Pending Approval,Question about my last statement,"#N/A","#N/A","#N/A","#N/A","#N/A"
00f4dc9a-228e-4d6c-9b34-54d1ea35fa52,d63f6627-d8f5-495c-99f1-ed04ce3d0ec3,"#N/A","#N/A",a011aa8e-fa4f-4edf-a5cd-abac8589818d,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Rejected,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00f688da-3232-4c37-921e-67f4e438e760,1f8bbab1-7ffa-45f2-9d74-c82857af32fc,"#N/A","#N/A",4006d77f-a03d-43c4-9547-fd194448c8cb,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00f8f986-32d3-4330-9eb3-aee8064bceae,f6b765fb-c449-416a-aa71-886da6094d24,"#N/A","#N/A",7c40f20a-4a6f-420b-8a00-c72371b15a04,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,New,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
01114a0c-1592-4a02-9f99-63098a2d5d41,bf131de7-db83-489c-a98f-c2d3229086fe,"#N/A","#N/A",d9c5fbc6-1405-43d7-8e7e-43fe3897692c,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Approved,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
012232ab-3c18-4261-b99c-a08d874a5074,62182832-1860-413c-bff0-d887381c7ac6,"#N/A","#N/A",26594d48-f36f-4ad3-88a2-4ad66d60ebd6,EMEA Case,false,"#N/A",Medium,Complex functionality,On Hold,Problem in   Scheduled Event,"#N/A","#N/A","#N/A",Problem,"#N/A"
